 quando                  | quem      | balcao | o_que                        | canal_criado/usado
-------------------------------------------------------------------------------------------------------------
 2015-05-24 01:52:05     |  Balcao   | 1      | inicia_mem_partilhada        | -                
 2015-05-24 01:52:05     |  Balcao   | 1      | inicia_linh_mem_partilhada   | fb_6915          
 2015-05-24 01:52:06     |  Balcao   | 2      | inicia_linh_mem_partilhada   | fb_6918          
 2015-05-24 01:52:07     |  Balcao   | 3      | inicia_linh_mem_partilhada   | fb_6924          
 2015-05-24 01:52:07     |  Balcao   | 4      | inicia_linh_mem_partilhada   | fb_6927          
 2015-05-24 01:52:08     |  Balcao   | 5      | inicia_linh_mem_partilhada   | fb_6930          
 2015-05-24 01:52:08     |  Cliente  | 1      | pede_atendimento             | fc_6940          
 2015-05-24 01:52:08     |  Balcao   | 1      | inicia_atendimento_cliente   | fc_6940          
 2015-05-24 01:52:08     |  Cliente  | 2      | pede_atendimento             | fc_6939          
 2015-05-24 01:52:08     |  Balcao   | 2      | inicia_atendimento_cliente   | fc_6939          
 2015-05-24 01:52:08     |  Cliente  | 3      | pede_atendimento             | fc_6938          
 2015-05-24 01:52:08     |  Balcao   | 3      | inicia_atendimento_cliente   | fc_6938          
 2015-05-24 01:52:08     |  Cliente  | 4      | pede_atendimento             | fc_6941          
 2015-05-24 01:52:08     |  Balcao   | 4      | inicia_atendimento_cliente   | fc_6941          
 2015-05-24 01:52:08     |  Cliente  | 5      | pede_atendimento             | fc_6937          
 2015-05-24 01:52:08     |  Balcao   | 5      | inicia_atendimento_cliente   | fc_6937          
 2015-05-24 01:52:08     |  Cliente  | 1      | pede_atendimento             | fc_6942          
 2015-05-24 01:52:08     |  Balcao   | 1      | inicia_atendimento_cliente   | fc_6942          
 2015-05-24 01:52:08     |  Cliente  | 2      | pede_atendimento             | fc_6943          
 2015-05-24 01:52:08     |  Balcao   | 2      | inicia_atendimento_cliente   | fc_6943          
 2015-05-24 01:52:08     |  Cliente  | 3      | pede_atendimento             | fc_6936          
 2015-05-24 01:52:08     |  Balcao   | 3      | inicia_atendimento_cliente   | fc_6936          
 2015-05-24 01:52:08     |  Cliente  | 4      | pede_atendimento             | fc_6944          
 2015-05-24 01:52:08     |  Balcao   | 4      | inicia_atendimento_cliente   | fc_6944          
 2015-05-24 01:52:08     |  Cliente  | 5      | pede_atendimento             | fc_6945          
 2015-05-24 01:52:08     |  Balcao   | 5      | inicia_atendimento_cliente   | fc_6945          
 2015-05-24 01:52:08     |  Cliente  | 1      | pede_atendimento             | fc_6946          
 2015-05-24 01:52:08     |  Balcao   | 1      | inicia_atendimento_cliente   | fc_6946          
 2015-05-24 01:52:08     |  Cliente  | 2      | pede_atendimento             | fc_6935          
 2015-05-24 01:52:08     |  Balcao   | 2      | inicia_atendimento_cliente   | fc_6935          
 2015-05-24 01:52:08     |  Cliente  | 3      | pede_atendimento             | fc_6947          
 2015-05-24 01:52:08     |  Balcao   | 3      | inicia_atendimento_cliente   | fc_6947          
 2015-05-24 01:52:08     |  Cliente  | 4      | pede_atendimento             | fc_6948          
 2015-05-24 01:52:08     |  Balcao   | 4      | inicia_atendimento_cliente   | fc_6948          
 2015-05-24 01:52:08     |  Cliente  | 5      | pede_atendimento             | fc_6934          
 2015-05-24 01:52:08     |  Balcao   | 5      | inicia_atendimento_cliente   | fc_6934          
 2015-05-24 01:52:08     |  Cliente  | 1      | pede_atendimento             | fc_6949          
 2015-05-24 01:52:08     |  Balcao   | 1      | inicia_atendimento_cliente   | fc_6949          
 2015-05-24 01:52:08     |  Cliente  | 2      | pede_atendimento             | fc_6950          
 2015-05-24 01:52:08     |  Balcao   | 2      | inicia_atendimento_cliente   | fc_6950          
 2015-05-24 01:52:08     |  Cliente  | 3      | pede_atendimento             | fc_6951          
 2015-05-24 01:52:08     |  Cliente  | 4      | pede_atendimento             | fc_6952          
 2015-05-24 01:52:08     |  Cliente  | 5      | pede_atendimento             | fc_6953          
 2015-05-24 01:52:08     |  Cliente  | 1      | pede_atendimento             | fc_6954          
 2015-05-24 01:52:08     |  Cliente  | 2      | pede_atendimento             | fc_6955          
 2015-05-24 01:52:08     |  Cliente  | 3      | pede_atendimento             | fc_6956          
 2015-05-24 01:52:08     |  Cliente  | 4      | pede_atendimento             | fc_6957          
 2015-05-24 01:52:08     |  Cliente  | 5      | pede_atendimento             | fc_6958          
 2015-05-24 01:52:08     |  Cliente  | 1      | pede_atendimento             | fc_6959          
 2015-05-24 01:52:08     |  Cliente  | 3      | pede_atendimento             | fc_6961          
 2015-05-24 01:52:08     |  Cliente  | 4      | pede_atendimento             | fc_6962          
 2015-05-24 01:52:08     |  Cliente  | 5      | pede_atendimento             | fc_6963          
 2015-05-24 01:52:08     |  Cliente  | 1      | pede_atendimento             | fc_6964          
 2015-05-24 01:52:08     |  Cliente  | 2      | pede_atendimento             | fc_6960          
 2015-05-24 01:52:08     |  Cliente  | 2      | pede_atendimento             | fc_6965          
 2015-05-24 01:52:08     |  Cliente  | 3      | pede_atendimento             | fc_6966          
 2015-05-24 01:52:08     |  Balcao   | 3      | inicia_atendimento_cliente   | fc_6951          
 2015-05-24 01:52:08     |  Cliente  | 4      | pede_atendimento             | fc_6967          
 2015-05-24 01:52:08     |  Balcao   | 4      | inicia_atendimento_cliente   | fc_6967          
 2015-05-24 01:52:08     |  Balcao   | 4      | inicia_atendimento_cliente   | fc_6952          
 2015-05-24 01:52:08     |  Balcao   | 5      | inicia_atendimento_cliente   | fc_6953          
 2015-05-24 01:52:08     |  Balcao   | 1      | inicia_atendimento_cliente   | fc_6954          
 2015-05-24 01:52:08     |  Cliente  | 5      | pede_atendimento             | fc_6968          
 2015-05-24 01:52:08     |  Balcao   | 5      | inicia_atendimento_cliente   | fc_6968          
 2015-05-24 01:52:08     |  Cliente  | 1      | pede_atendimento             | fc_6969          
 2015-05-24 01:52:08     |  Balcao   | 1      | inicia_atendimento_cliente   | fc_6969          
 2015-05-24 01:52:08     |  Cliente  | 2      | pede_atendimento             | fc_6970          
 2015-05-24 01:52:08     |  Balcao   | 2      | inicia_atendimento_cliente   | fc_6970          
 2015-05-24 01:52:08     |  Cliente  | 3      | pede_atendimento             | fc_6971          
 2015-05-24 01:52:08     |  Balcao   | 3      | inicia_atendimento_cliente   | fc_6971          
 2015-05-24 01:52:08     |  Cliente  | 4      | pede_atendimento             | fc_6972          
 2015-05-24 01:52:08     |  Balcao   | 4      | inicia_atendimento_cliente   | fc_6972          
 2015-05-24 01:52:08     |  Cliente  | 5      | pede_atendimento             | fc_6973          
 2015-05-24 01:52:08     |  Balcao   | 5      | inicia_atendimento_cliente   | fc_6973          
 2015-05-24 01:52:08     |  Cliente  | 1      | pede_atendimento             | fc_6974          
 2015-05-24 01:52:08     |  Balcao   | 1      | inicia_atendimento_cliente   | fc_6974          
 2015-05-24 01:52:08     |  Cliente  | 2      | pede_atendimento             | fc_6975          
 2015-05-24 01:52:08     |  Balcao   | 2      | inicia_atendimento_cliente   | fc_6975          
 2015-05-24 01:52:08     |  Balcao   | 2      | inicia_atendimento_cliente   | fc_6955          
 2015-05-24 01:52:08     |  Balcao   | 3      | inicia_atendimento_cliente   | fc_6956          
